Date.Time,Temp
7/8/19 15:00,25.501
7/8/19 15:15,25.501
7/8/19 15:30,25.428
7/8/19 15:45,25.38
7/8/19 16:00,25.331
7/8/19 16:15,25.307
7/8/19 16:30,25.258
7/8/19 16:45,25.234
7/8/19 17:00,25.186
7/8/19 17:15,25.162
7/8/19 17:30,25.137
7/8/19 17:45,25.113
7/8/19 18:00,25.089
7/8/19 18:15,25.065
7/8/19 18:30,25.04
7/8/19 18:45,25.016
7/8/19 19:00,24.992
7/8/19 19:15,24.944
7/8/19 19:30,24.919
7/8/19 19:45,24.871
7/8/19 20:00,24.895
7/8/19 20:15,24.895
7/8/19 20:30,24.895
7/8/19 20:45,24.895
7/8/19 21:00,24.895
7/8/19 21:15,24.895
7/8/19 21:30,24.871
7/8/19 21:45,24.944
7/8/19 22:00,25.016
7/8/19 22:15,25.065
7/8/19 22:30,25.089
7/8/19 22:45,25.113
7/8/19 23:00,25.137
7/8/19 23:15,25.137
7/8/19 23:30,25.137
7/8/19 23:45,25.137
7/9/19 0:00,25.137
7/9/19 0:15,25.137
7/9/19 0:30,25.137
7/9/19 0:45,25.137
7/9/19 1:00,25.137
7/9/19 1:15,25.137
7/9/19 1:30,25.137
7/9/19 1:45,25.137
7/9/19 2:00,25.113
7/9/19 2:15,25.089
7/9/19 2:30,25.089
7/9/19 2:45,25.089
7/9/19 3:00,25.113
7/9/19 3:15,25.113
7/9/19 3:30,25.089
7/9/19 3:45,25.089
7/9/19 4:00,25.089
7/9/19 4:15,25.089
7/9/19 4:30,25.065
7/9/19 4:45,25.065
7/9/19 5:00,25.065
7/9/19 5:15,25.065
7/9/19 5:30,25.04
7/9/19 5:45,25.04
7/9/19 6:00,25.04
7/9/19 6:15,25.04
7/9/19 6:30,25.016
7/9/19 6:45,25.016
7/9/19 7:00,24.992
7/9/19 7:15,25.016
7/9/19 7:30,24.992
7/9/19 7:45,24.992
7/9/19 8:00,24.992
7/9/19 8:15,24.992
7/9/19 8:30,24.992
7/9/19 8:45,25.016
7/9/19 9:00,25.04
7/9/19 9:15,25.04
7/9/19 9:30,25.137
7/9/19 9:45,25.21
7/9/19 10:00,25.283
7/9/19 10:15,25.38
7/9/19 10:30,25.404
7/9/19 10:45,25.477
7/9/19 11:00,25.525
7/9/19 11:15,25.55
7/9/19 11:30,25.453
7/9/19 11:45,25.065
7/9/19 12:00,24.653
7/9/19 12:15,24.702
7/9/19 12:30,24.75
7/9/19 12:45,24.798
7/9/19 13:00,24.823
7/9/19 13:15,24.871
7/9/19 13:30,24.895
7/9/19 13:45,24.919
7/9/19 14:00,24.919
7/9/19 14:15,24.944
7/9/19 14:30,24.944
7/9/19 14:45,24.944
7/9/19 15:00,24.944
7/9/19 15:15,24.944
7/9/19 15:30,24.968
7/9/19 15:45,24.992
7/9/19 16:00,25.016
7/9/19 16:15,25.016
7/9/19 16:30,25.04
7/9/19 16:45,25.016
7/9/19 17:00,25.016
7/9/19 17:15,25.016
7/9/19 17:30,25.016
7/9/19 17:45,25.04
7/9/19 18:00,25.065
7/9/19 18:15,25.113
7/9/19 18:30,25.137
7/9/19 18:45,25.186
7/9/19 19:00,25.186
7/9/19 19:15,25.21
7/9/19 19:30,25.21
7/9/19 19:45,25.186
7/9/19 20:00,25.186
7/9/19 20:15,25.186
7/9/19 20:30,25.162
7/9/19 20:45,25.137
7/9/19 21:00,25.137
7/9/19 21:15,25.113
7/9/19 21:30,25.089
7/9/19 21:45,25.089
7/9/19 22:00,25.065
7/9/19 22:15,25.04
7/9/19 22:30,25.04
7/9/19 22:45,25.016
7/9/19 23:00,24.992
7/9/19 23:15,24.992
7/9/19 23:30,24.968
7/9/19 23:45,24.944
7/10/19 0:00,24.944
7/10/19 0:15,24.919
7/10/19 0:30,24.895
7/10/19 0:45,24.895
7/10/19 1:00,24.871
7/10/19 1:15,24.871
7/10/19 1:30,24.847
7/10/19 1:45,24.847
7/10/19 2:00,24.823
7/10/19 2:15,24.798
7/10/19 2:30,24.798
7/10/19 2:45,24.774
7/10/19 3:00,24.75
7/10/19 3:15,24.75
7/10/19 3:30,24.726
7/10/19 3:45,24.726
7/10/19 4:00,24.702
7/10/19 4:15,24.702
7/10/19 4:30,24.677
7/10/19 4:45,24.653
7/10/19 5:00,24.653
7/10/19 5:15,24.629
7/10/19 5:30,24.629
7/10/19 5:45,24.629
7/10/19 6:00,24.605
7/10/19 6:15,24.605
7/10/19 6:30,24.581
7/10/19 6:45,24.581
7/10/19 7:00,24.581
7/10/19 7:15,24.557
7/10/19 7:30,24.557
7/10/19 7:45,24.557
7/10/19 8:00,24.532
7/10/19 8:15,24.508
7/10/19 8:30,24.508
7/10/19 8:45,24.484
7/10/19 9:00,24.46
7/10/19 9:15,24.46
7/10/19 9:30,24.412
7/10/19 9:45,24.363
7/10/19 10:00,24.315
7/10/19 10:15,24.267
7/10/19 10:30,24.363
7/10/19 10:45,20.793
7/10/19 10:50,
